"restaurant_id","restaurant_name","address","nea_grade","demerit_points","source_type","menu_source_url","menu_file","menu_status","notes"
"R095","CU MR FOOD STATION PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","manual_or_html","","","to_find",""
"R096","HAW GICK HAI","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","A","na","manual_or_html","","","to_find",""
"R097","LAI KEE FOODSTUFF PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","4","manual_or_html","","","to_find",""
"R098","PONGPHUN PHANITRAM","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","manual_or_html","","","to_find",""
"R099","SEAFOOD PARK PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","4","manual_or_html","","","to_find",""
"R100","SEAFOOD PARK PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","0","manual_or_html","","","to_find",""
"R101","TAN BEE SENG","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","manual_or_html","","","to_find",""
"R102","TAN CHU PEE","107A CLEMENTI STREET 12 #01-66 SINGAPORE 121107","A","na","manual_or_html","","","to_find",""
"R103","ONG SOO YONG","109 CLEMENTI STREET 11 #01-07 SINGAPORE 120109","B","na","manual_or_html","","","to_find",""
"R104","PINES FOOD CATERING PTE. LTD.","11 KENT RIDGE DRIVE #01-03 SHAW FOUNDATION ALUMNI HOUSE-NUS SINGAPORE 119244","A","na","manual_or_html","","","to_find",""
"R105","MASSIVE CRAVINGS LIFESTYLE PTE LTD","11 KENT RIDGE DRIVE #04-02 SHAW FOUNDATION ALUMNI HOUSE SINGAPORE 119244","A","na","manual_or_html","","","to_find",""
"R106","PLAYTIME RECREATION & CATERING LLP","11 NORTH BUONA VISTA DRIVE (PART OF LEVEL 21) THE METROPOLIS TOWER 2 SINGAPORE 138588","A","na","manual_or_html","","","to_find",""
"R107","ANG CHOR YONG","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","manual_or_html","","","to_find",""
"R108","KEE GHIM KHUAN","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","manual_or_html","","","to_find",""
"R109","LEE PING LUEN","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","manual_or_html","","","to_find",""
"R110","LU XIAOFANG","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","manual_or_html","","","to_find",""
"R111","COFFEE FOLKS LLP","118/120 PASIR PANJANG ROAD SINGAPORE 118541","A","na","manual_or_html","","","to_find",""
"R112","SPH BUZZ PTE. LTD.","12 CLEMENTI ROAD (PART OF) SINGAPORE 129742","A","na","manual_or_html","","","to_find",""
"R113","ANG TECK YONG","12 KENT RIDGE DRIVE NUS - TEMASEK HALL SINGAPORE 119243","A","na","manual_or_html","","","to_find",""
"R114","MONKEY BUSINESS CONCEPTS PTE LTD","122 PASIR PANJANG ROAD SINGAPORE 118544","A","na","manual_or_html","","","to_find",""
"R115","ASHMI (S) PTE LTD","124 PASIR PANJANG ROAD SINGAPORE 118545","B","na","manual_or_html","","","to_find",""
"R116","TEN & HAN TRADING PTE LTD","126 CLEMENTI AVENUE 2 (PART OF) CALTEX SERVICE STATION SINGAPORE 129930","A","na","manual_or_html","","","to_find",""
"R117","CHEVRON SINGAPORE PTE. LTD.","126 CLEMENTI AVENUE 2 CALTEX SERVICE STATION SINGAPORE 129930","A","na","manual_or_html","","","to_find",""
"R118","ESARN THAI CORNER PTE. LTD","130 PASIR PANJANG ROAD SINGAPORE 118548","B","na","manual_or_html","","","to_find",""
"R119","ZULKIFRI BIN SALI","14 CLEMENTI ROAD SINGAPORE 129743","B","6","manual_or_html","","","to_find",""
"R120","TAN SIEW HOON","14 MEDICAL DRIVE #01-03 YONG LOO LIN SCHOOL OF MEDICINE BLK MD6 NUS SINGAPORE 117599","A","na","manual_or_html","","","to_find",""
