"licensee_name","licence_number","premises_address","grade","demerit_points","suspension_start_date","suspension_end_date"
"LIM TEIK SOON","SW11562P006","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","na","na"
"LOW KAM WENG","SW11562P008","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","na","na"
"MAAYAA RESTAURANT AND CATERING PTE. LTD.","SW11562P011","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","na","na"
"WU ZHONGMIN","SW11562P001","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"MEGA DEVELOPMENT & TRADING PTE LTD","SW11773V000","1 CREATE WAY #01-06 UNIVERSITY TOWN NUS SINGAPORE 138602","A","na","na","na"
"HAE BOK'S KOREAN RESTAURANT PTE LTD","SW11843C000","1 CREATE WAY #01-09 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"PINES FOOD DELIGHT PTE. LTD.","SW11815L000","1 CREATE WAY #01-12 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","na","na"
"HEXA INVESTMENTS PRIVATE LIMITED","SW13056C000","1 LOWER KENT RIDGE ROAD #01-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"NATURAL GRAIN PTE. LTD.","SW13214L000","1 LOWER KENT RIDGE ROAD #01-02 ONE @ KENTRIDGE SINGAPORE 119082","A","na","na","na"
"LEE HOIE HOCK","SW14008L000","1 LOWER KENT RIDGE ROAD #01-03 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"THE BATTER PEOPLE CO. PTE. LTD.","SW14014P000","1 LOWER KENT RIDGE ROAD #01-04 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"MINOR FOOD GROUP (SINGAPORE) PTE. LTD.","SW13144E000","1 LOWER KENT RIDGE ROAD #01-09 & #01-19/20 ONE @ KENTRIDGE SINGAPORE 119082","A","na","na","na"
"WILL-WIN (PTE. LTD.)","SW13302N000","1 LOWER KENT RIDGE ROAD #01-10 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"MSJ GOURMET GROUP PTE. LTD.","SW14298J000","1 LOWER KENT RIDGE ROAD #01-11 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"CHEN BINGYAO","SW13285C000","1 LOWER KENT RIDGE ROAD #01-12 ONE@KENTRIDGE SINGAPORE 119082","B","na","na","na"
"MILLEHUB PTE. LTD.","SW13070J000","1 LOWER KENT RIDGE ROAD #01-13 & #01-36 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"UC CONCEPT INTERNATIONAL PRIVATE LIMITED","SW13005C000","1 LOWER KENT RIDGE ROAD #01-14 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"TAY CHIN HENG","SW13079L000","1 LOWER KENT RIDGE ROAD #01-15 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"JUZ BREAD HOLDING PTE. LTD.","SW14866K000","1 LOWER KENT RIDGE ROAD #01-17 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"NIWA SUSHI PTE. LTD.","SW13W74E000","1 LOWER KENT RIDGE ROAD #01-18 ONE @ KENTRIDGE SINGAPORE 119082","A","na","na","na"
"JUZ BREAD HOLDING PTE. LTD.","SW13282K000","1 LOWER KENT RIDGE ROAD #01-23 ONE@KENTRIDGE SINGAPORE 119082","B","na","na","na"
"JUZ BREAD HOLDING PTE. LTD.","SW13283J000","1 LOWER KENT RIDGE ROAD #01-24 ONE@KENTRIDGE SINGAPORE 119082","B","na","na","na"
